"","bin_val","Start","End","bin","Var2","Freq","Var1.1","Var2.1","Freq.1"
"94",33,2011-05-25,2011-06-09,"ndvi.33","buffalo",46,"33","0",1637
"95",33,2011-05-25,2011-06-09,"ndvi.33","zebra",589,"33","1",17
"96",33,2011-05-25,2011-06-09,"ndvi.33","gazelleThomsons",733,"33","1",17
"97",34,2011-06-10,2011-06-25,"ndvi.34","hartebeest",87,"34","0",990
"98",34,2011-06-10,2011-06-25,"ndvi.34","topi",16,"34","1",5
"99",34,2011-06-10,2011-06-25,"ndvi.34","zebra",118,"34","1",5
"100",34,2011-06-10,2011-06-25,"ndvi.34","wildebeest",41,"34","0",990
"101",34,2011-06-10,2011-06-25,"ndvi.34","gazelleThomsons",704,"34","1",5
"102",34,2011-06-10,2011-06-25,"ndvi.34","buffalo",29,"34","0",990
"103",35,2011-06-26,2011-07-11,"ndvi.35","topi",16,"35","1",21
"104",35,2011-06-26,2011-07-11,"ndvi.35","gazelleThomsons",420,"35","1",21
"105",35,2011-06-26,2011-07-11,"ndvi.35","hartebeest",52,"35","0",1485
"106",35,2011-06-26,2011-07-11,"ndvi.35","buffalo",59,"35","0",1485
"107",35,2011-06-26,2011-07-11,"ndvi.35","zebra",589,"35","1",21
"108",35,2011-06-26,2011-07-11,"ndvi.35","wildebeest",370,"35","0",1485
"109",36,2011-07-12,2011-07-27,"ndvi.36","topi",18,"36","1",16
"110",36,2011-07-12,2011-07-27,"ndvi.36","gazelleThomsons",516,"36","1",16
"111",36,2011-07-12,2011-07-27,"ndvi.36","hartebeest",93,"36","0",1090
"112",36,2011-07-12,2011-07-27,"ndvi.36","buffalo",41,"36","0",1090
"113",36,2011-07-12,2011-07-27,"ndvi.36","zebra",382,"36","1",16
"114",36,2011-07-12,2011-07-27,"ndvi.36","wildebeest",56,"36","0",1090
"115",37,2011-07-28,2011-08-12,"ndvi.37","topi",3,"37","1",1
"116",37,2011-07-28,2011-08-12,"ndvi.37","hartebeest",13,"37","0",114
"117",37,2011-07-28,2011-08-12,"ndvi.37","gazelleThomsons",29,"37","1",1
"118",37,2011-07-28,2011-08-12,"ndvi.37","zebra",40,"37","1",1
"119",37,2011-07-28,2011-08-12,"ndvi.37","wildebeest",16,"37","0",114
"120",37,2011-07-28,2011-08-12,"ndvi.37","buffalo",14,"37","0",114
"121",39,2011-08-29,2011-09-13,"ndvi.39","topi",19,"39","1",2
"122",39,2011-08-29,2011-09-13,"ndvi.39","gazelleThomsons",309,"39","1",2
"123",39,2011-08-29,2011-09-13,"ndvi.39","zebra",41,"39","1",2
"124",39,2011-08-29,2011-09-13,"ndvi.39","hartebeest",18,"39","0",405
"125",39,2011-08-29,2011-09-13,"ndvi.39","buffalo",16,"39","0",405
"126",39,2011-08-29,2011-09-13,"ndvi.39","wildebeest",4,"39","0",405
"127",40,2011-09-14,2011-09-29,"ndvi.40","topi",25,"40","1",24
"128",40,2011-09-14,2011-09-29,"ndvi.40","gazelleThomsons",492,"40","1",24
"129",40,2011-09-14,2011-09-29,"ndvi.40","hartebeest",66,"40","0",1221
"130",40,2011-09-14,2011-09-29,"ndvi.40","buffalo",60,"40","0",1221
"131",40,2011-09-14,2011-09-29,"ndvi.40","zebra",574,"40","1",24
"132",40,2011-09-14,2011-09-29,"ndvi.40","wildebeest",28,"40","0",1221
"133",41,2011-09-30,2011-10-15,"ndvi.41","topi",31,"41","1",15
"134",41,2011-09-30,2011-10-15,"ndvi.41","gazelleThomsons",454,"41","1",15
"135",41,2011-09-30,2011-10-15,"ndvi.41","hartebeest",59,"41","0",1126
"136",41,2011-09-30,2011-10-15,"ndvi.41","buffalo",85,"41","0",1126
"137",41,2011-09-30,2011-10-15,"ndvi.41","zebra",425,"41","1",15
"138",41,2011-09-30,2011-10-15,"ndvi.41","wildebeest",87,"41","0",1126
"139",42,2011-10-16,2011-10-31,"ndvi.42","topi",20,"42","1",22
"140",42,2011-10-16,2011-10-31,"ndvi.42","hartebeest",121,"42","0",1375
"141",42,2011-10-16,2011-10-31,"ndvi.42","gazelleThomsons",595,"42","1",22
"142",42,2011-10-16,2011-10-31,"ndvi.42","zebra",434,"42","1",22
"143",42,2011-10-16,2011-10-31,"ndvi.42","wildebeest",114,"42","0",1375
"144",42,2011-10-16,2011-10-31,"ndvi.42","buffalo",113,"42","0",1375
"145",43,2011-11-01,2011-11-16,"ndvi.43","topi",26,"43","1",139
"146",43,2011-11-01,2011-11-16,"ndvi.43","gazelleThomsons",164,"43","1",139
"147",43,2011-11-01,2011-11-16,"ndvi.43","zebra",1551,"43","1",139
"148",43,2011-11-01,2011-11-16,"ndvi.43","hartebeest",121,"43","0",3788
"149",43,2011-11-01,2011-11-16,"ndvi.43","buffalo",118,"43","0",3788
"150",43,2011-11-01,2011-11-16,"ndvi.43","wildebeest",1947,"43","0",3788
"151",44,2011-11-17,2011-12-02,"ndvi.44","zebra",883,"44","1",50
"152",44,2011-11-17,2011-12-02,"ndvi.44","topi",20,"44","1",50
"153",44,2011-11-17,2011-12-02,"ndvi.44","hartebeest",71,"44","0",2061
"154",44,2011-11-17,2011-12-02,"ndvi.44","wildebeest",1011,"44","0",2061
"155",44,2011-11-17,2011-12-02,"ndvi.44","gazelleThomsons",24,"44","1",50
"156",44,2011-11-17,2011-12-02,"ndvi.44","buffalo",102,"44","0",2061
"157",45,2011-12-03,2011-12-18,"ndvi.45","gazelleThomsons",9,"45","1",4
"158",45,2011-12-03,2011-12-18,"ndvi.45","zebra",73,"45","1",4
"159",45,2011-12-03,2011-12-18,"ndvi.45","hartebeest",73,"45","0",306
"160",45,2011-12-03,2011-12-18,"ndvi.45","buffalo",109,"45","0",306
"161",45,2011-12-03,2011-12-18,"ndvi.45","wildebeest",22,"45","0",306
"162",45,2011-12-03,2011-12-18,"ndvi.45","topi",24,"45","1",4
"163",46,2011-12-19,2011-12-31,"ndvi.46","gazelleThomsons",10,"46","1",0
"164",46,2011-12-19,2011-12-31,"ndvi.46","hartebeest",30,"46","0",249
"165",46,2011-12-19,2011-12-31,"ndvi.46","buffalo",105,"46","0",249
"166",46,2011-12-19,2011-12-31,"ndvi.46","zebra",62,"46","1",0
"167",46,2011-12-19,2011-12-31,"ndvi.46","wildebeest",27,"46","0",249
"168",46,2011-12-19,2011-12-31,"ndvi.46","topi",15,"46","1",0
"169",47,2012-01-01,2012-01-16,"ndvi.47","gazelleThomsons",3,"47","1",3
"170",47,2012-01-01,2012-01-16,"ndvi.47","buffalo",80,"47","0",296
"171",47,2012-01-01,2012-01-16,"ndvi.47","zebra",52,"47","1",3
"172",47,2012-01-01,2012-01-16,"ndvi.47","wildebeest",90,"47","0",296
"173",47,2012-01-01,2012-01-16,"ndvi.47","topi",13,"47","1",3
"174",47,2012-01-01,2012-01-16,"ndvi.47","hartebeest",61,"47","0",296
"175",48,2012-01-17,2012-02-01,"ndvi.48","topi",25,"48","1",1
"176",48,2012-01-17,2012-02-01,"ndvi.48","buffalo",50,"48","0",280
"177",48,2012-01-17,2012-02-01,"ndvi.48","zebra",11,"48","1",1
"178",48,2012-01-17,2012-02-01,"ndvi.48","hartebeest",115,"48","0",280
"179",48,2012-01-17,2012-02-01,"ndvi.48","wildebeest",55,"48","0",280
"180",48,2012-01-17,2012-02-01,"ndvi.48","gazelleThomsons",25,"48","1",1
"181",49,2012-02-02,2012-02-17,"ndvi.49","topi",18,"49","1",32
"182",49,2012-02-02,2012-02-17,"ndvi.49","hartebeest",80,"49","0",1846
"183",49,2012-02-02,2012-02-17,"ndvi.49","zebra",956,"49","1",32
"184",49,2012-02-02,2012-02-17,"ndvi.49","wildebeest",425,"49","0",1846
"185",49,2012-02-02,2012-02-17,"ndvi.49","gazelleThomsons",220,"49","1",32
"186",49,2012-02-02,2012-02-17,"ndvi.49","buffalo",179,"49","0",1846
"187",50,2012-02-18,2012-03-05,"ndvi.50","topi",19,"50","1",81
"188",50,2012-02-18,2012-03-05,"ndvi.50","hartebeest",98,"50","0",2147
"189",50,2012-02-18,2012-03-05,"ndvi.50","gazelleThomsons",261,"50","1",81
"190",50,2012-02-18,2012-03-05,"ndvi.50","zebra",933,"50","1",81
"191",50,2012-02-18,2012-03-05,"ndvi.50","buffalo",148,"50","0",2147
"192",50,2012-02-18,2012-03-05,"ndvi.50","wildebeest",769,"50","0",2147
"193",51,2012-03-06,2012-03-21,"ndvi.51","topi",23,"51","1",31
"194",51,2012-03-06,2012-03-21,"ndvi.51","hartebeest",62,"51","0",1662
"195",51,2012-03-06,2012-03-21,"ndvi.51","wildebeest",759,"51","0",1662
"196",51,2012-03-06,2012-03-21,"ndvi.51","gazelleThomsons",147,"51","1",31
"197",51,2012-03-06,2012-03-21,"ndvi.51","zebra",572,"51","1",31
"198",51,2012-03-06,2012-03-21,"ndvi.51","buffalo",130,"51","0",1662
"199",52,2012-03-22,2012-04-06,"ndvi.52","topi",30,"52","1",2
"200",52,2012-03-22,2012-04-06,"ndvi.52","hartebeest",137,"52","0",791
"201",52,2012-03-22,2012-04-06,"ndvi.52","zebra",215,"52","1",2
"202",52,2012-03-22,2012-04-06,"ndvi.52","gazelleThomsons",183,"52","1",2
"203",52,2012-03-22,2012-04-06,"ndvi.52","wildebeest",124,"52","0",791
"204",52,2012-03-22,2012-04-06,"ndvi.52","buffalo",104,"52","0",791
"205",53,2012-04-07,2012-04-22,"ndvi.53","topi",16,"53","1",50
"206",53,2012-04-07,2012-04-22,"ndvi.53","hartebeest",62,"53","0",1566
"207",53,2012-04-07,2012-04-22,"ndvi.53","zebra",491,"53","1",50
"208",53,2012-04-07,2012-04-22,"ndvi.53","wildebeest",890,"53","0",1566
"209",53,2012-04-07,2012-04-22,"ndvi.53","gazelleThomsons",58,"53","1",50
"210",53,2012-04-07,2012-04-22,"ndvi.53","buffalo",99,"53","0",1566
"211",54,2012-04-23,2012-05-08,"ndvi.54","topi",16,"54","1",5
"212",54,2012-04-23,2012-05-08,"ndvi.54","hartebeest",46,"54","0",434
"213",54,2012-04-23,2012-05-08,"ndvi.54","gazelleThomsons",28,"54","1",5
