"","SITEID","ARCX","ARCY","BINHAB","HABITAT","RIV.DIST.M","CONF.DIST.M","KOP.DIST.M","ROAD.DIST.M","AVG.TREE.10","PER.TREE.COV","lion.encount.dry","lion.encount.wet"
"80","H12",708077,9710659,"plains","grassland",441.3890008,337.4567098,5778.592524,2174.536604,1500,4113,0.101845460850204,0.124109742495138
"81","H13",708312,9708102,"plains","grassland",19.22585966,2672.428167,3224.596263,1617.328448,269,5390,0.091751596914955,0.030539753155287
"82","I02",710666,9733817,"plains","grassland",1057.112813,1193.716472,992.285133,698.1762063,5.2,7323,0.026984654984138,0
"83","I03",710555,9731470,"plains","grassland",1034.729073,1943.230058,3267.303593,405.6057837,71.5,5098,0.205964262890485,0.447000212764506
"84","I04",710653,9729274,"plains","grassland",2467.540753,2085.876724,2556.240454,1367.272624,8.3,4433,0.205964262890485,0
"85","I05",710639,9727166,"plains","grassland",1887.988208,1544.875783,656.5573902,90,81.9,4384,0.389679518773463,0
"86","I06",710826,9724838,"plains","grassland",1638.38872,1462.036955,1909.757358,49.39443134,42,5431,0.389679518773463,0
"87","I07",710606,9722657,"plains","grassland",1901.557642,1855.852579,661.4495805,190,665.6,4327,0.228552890159958,0.709272730362812
"88","I08",710558,9720584,"plains","grassland",42.87421889,907.6906434,128,88.64793726,309.6,5036,0.280690742164283,1.04088468775796
"89","I09",710267,9718022,"plains","grassland",1527.516994,1773.871755,2355.321356,521.5646648,756.4,5745,0.364683223721645,0.124109742495138
"90","I10",710006,9716196,"plains","grassland",3233.396249,3582.436306,4196.828562,1534.458203,1383.3,4963,0.364683223721645,0.124109742495138
"91","I11",709846,9713784,"plains","grassland",3160.523865,3721.216834,6603.306488,752.2682287,1161,4236,0.101845460850204,0.124109742495138
"92","I12",710837,9711269,"plains","grassland",2538.259858,3142.561904,6059.987915,530.4426916,1500,4820,0.101845460850204,0.124109742495138
"93","I13",710085,9708950,"plains","grassland",593.9286295,2930.861076,3774.704298,846.7897186,1010,3513,0.094086345492611,0.030539753155287
"94","J02",712788,9733722,"plains","grassland",131.0004419,796.1483078,486.1822774,1841.474818,10.3,6943,0.198205147532892,0.447000212764506
"95","J03",712783,9731507,"plains","grassland",1663.441484,1806.652737,1866.030492,373.3666374,34.6,4963,0.198205147532892,0.447000212764506
"96","J04",712954,9729237,"plains","grassland",1177.938129,1073.276084,2854.863158,1684.783048,58.9,4070,0.380308750283674,0.447000212764506
"97","J05",713133,9727041,"plains","grassland",1495.466385,1200.527169,1925.754853,417.2505965,123.3,5091,0.205964262890485,0
"98","J06",712898,9724611,"plains","grassland",2609.340867,2635.336026,666.9402146,243.8166447,51.4,4322,0.389679518773463,0
"99","J07",712763,9722337,"plains","grassland",2110.227074,2126.534098,1387.706831,741.2773776,1500,4802,0.362694863789325,0
"100","J08",712652,9720223,"plains","grassland",47.63489483,574.8021211,1335.889838,1171.782651,642.5,5802,0.280690742164283,0.238041968055301
"101","J09",713126,9718188,"plains","grassland",38.0054885,364.0887362,2314.982085,10,731.6,4756,0.297841882082639,0.238041968055301
"102","J10",713149,9716295,"plains","grassland",916.3360656,927.2105128,4031.851726,576.9487828,267.3,4133,0.290082766725046,0.238041968055301
"103","J11",712856,9713448,"plains","grassland",2729.387438,3770.476668,6857.926912,1336.840867,1500,4170,0.173208852481074,0.030539753155287
"104","J12",712314,9710911,"plains","grassland",2478.655574,4574.321601,34,1906.960096,221.2,3562,0.094086345492611,0.030539753155287
"105","J13",712102,9708779,"plains","grassland",961.5321243,4768.054145,3860.000585,729.8526742,411.8,5141,0.094086345492611,0.096293954370843
"106","K03",715120,9731552,"plains","grassland",132.3127602,273.3063054,211.9380184,96.42519514,22.1,5854,0.380308750283674,0.770993239915012
"107","K04",715089,9729467,"plains","grassland",804.5789292,952.7216756,257,450.2172918,14.8,5030,0.380308750283674,0.447000212764506
"108","K05",715102,9726821,"plains","grassland",120.9037969,104.4904781,2067.175913,270,29.4,6070,0.380308750283674,0
"109","K06",715008,9724985,"plains","grassland",613.2626406,1735.377638,723.3201661,470,46,4776,0.198205147532892,0.016280025520568
"110","K07",714926,9722507,"plains","grassland",2525.41567,2816.818884,1289.734136,598.5735773,48.2,1309,0.354935748431732,0.355726172498034
"111","K08",715390,9720330,"plains","grassland",1062.617084,2165.567884,711.137384,510.9324286,183.8,4791,0.262837762871441,0.355726172498034
"112","K09",715396,9718218,"plains","grassland",747.7532181,805.0478855,2078.23671,660.3701867,207.3,2352,0.262837762871441,0.254321993575869
"113","K10",714339,9716097,"plains","grassland",11.07332009,1392.040531,4037.929503,1415.112838,193,4224,0.290082766725046,0.238041968055301
"114","K11",714652,9713600,"plains","grassland",942.0145592,3424.321936,6534.136517,76.85558604,500,3269,0.173208852481074,0.030539753155287
"115","K12",715067,9711274,"plains","grassland",1693.296601,2195.007789,6564.744928,1133.206666,900,3887,0.22339305645063,0.030539753155287
"116","K13",715209,9709080,"plains","grassland",2996.341796,3081.469855,4485.466834,1649.53319,1300,2574,0.144270549462167,0.065754201215556
"117","L03",717248,9731538,"plains","grassland",30.66585361,853.0217179,1233.341833,1930.867696,41.4,5124,0.353324095299536,0.770993239915012
"118","L04",717238,9729348,"plains","grassland",1166.956087,1289.677916,832.4601879,2494.060594,18.9,5342,0.353324095299536,0.323993027150506
