"","bin_val","Start","End","bin","Var2","Freq","Var1.1","Var2.1","Freq.1"
"160",45,2011-12-03,2011-12-18,"ndvi.45","buffalo",80,"45","0",233
"161",45,2011-12-03,2011-12-18,"ndvi.45","wildebeest",15,"45","0",233
"162",45,2011-12-03,2011-12-18,"ndvi.45","topi",21,"45","1",4
"163",46,2011-12-19,2011-12-31,"ndvi.46","gazelleThomsons",10,"46","1",0
"164",46,2011-12-19,2011-12-31,"ndvi.46","hartebeest",26,"46","0",210
"165",46,2011-12-19,2011-12-31,"ndvi.46","buffalo",81,"46","0",210
"166",46,2011-12-19,2011-12-31,"ndvi.46","zebra",55,"46","1",0
"167",46,2011-12-19,2011-12-31,"ndvi.46","wildebeest",24,"46","0",210
"168",46,2011-12-19,2011-12-31,"ndvi.46","topi",14,"46","1",0
"169",47,2012-01-01,2012-01-16,"ndvi.47","gazelleThomsons",2,"47","1",1
"170",47,2012-01-01,2012-01-16,"ndvi.47","buffalo",51,"47","0",185
"171",47,2012-01-01,2012-01-16,"ndvi.47","zebra",29,"47","1",1
"172",47,2012-01-01,2012-01-16,"ndvi.47","wildebeest",55,"47","0",185
"173",47,2012-01-01,2012-01-16,"ndvi.47","topi",8,"47","1",1
"174",47,2012-01-01,2012-01-16,"ndvi.47","hartebeest",41,"47","0",185
"175",48,2012-01-17,2012-02-01,"ndvi.48","topi",18,"48","1",1
"176",48,2012-01-17,2012-02-01,"ndvi.48","buffalo",39,"48","0",207
"177",48,2012-01-17,2012-02-01,"ndvi.48","zebra",4,"48","1",1
"178",48,2012-01-17,2012-02-01,"ndvi.48","hartebeest",87,"48","0",207
"179",48,2012-01-17,2012-02-01,"ndvi.48","wildebeest",47,"48","0",207
"180",48,2012-01-17,2012-02-01,"ndvi.48","gazelleThomsons",13,"48","1",1
"181",49,2012-02-02,2012-02-17,"ndvi.49","topi",13,"49","1",23
"182",49,2012-02-02,2012-02-17,"ndvi.49","hartebeest",59,"49","0",1168
"183",49,2012-02-02,2012-02-17,"ndvi.49","zebra",565,"49","1",23
"184",49,2012-02-02,2012-02-17,"ndvi.49","wildebeest",282,"49","0",1168
"185",49,2012-02-02,2012-02-17,"ndvi.49","gazelleThomsons",145,"49","1",23
"186",49,2012-02-02,2012-02-17,"ndvi.49","buffalo",127,"49","0",1168
"187",50,2012-02-18,2012-03-05,"ndvi.50","topi",11,"50","1",51
"188",50,2012-02-18,2012-03-05,"ndvi.50","hartebeest",67,"50","0",1399
